Altium Designer Pick and Place Locations
D:\Documents\Enero\Maker Faire 2018\Maker_Faire_Nabaztag_V4.2_voiceReco_4\Project Outputs for Maker_Faire_Nabaztag\Nabaztag_RPI_Production_Files\Pynab_FAB_PRESTOCAB\Pick Place for Nabaztag_RPI_V2.0.txt

========================================================================================================================
File Design Information:

Date:       24/09/19
Time:       17:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                                                                                                                                                                                                                                                                                                                                Layer       Footprint                            Center-X(mil) Center-Y(mil) Rotation Description                                                  
U15        LIS3DHTR                                                                                                                                                                                                                                                                                                                                               TopLayer    STM-LGA-16                           1401.575      1278.543      0        ""                                                           
H15        GND                                                                                                                                                                                                                                                                                                                                                    TopLayer    Header_UART_3x1                      210.630       4077.756      270      ""                                                           
C32        10uF                                                                                                                                                                                                                                                                                                                                                   TopLayer    CAP0603                              559.055       570.866       360      "Non-polarised capacitor"                                    
C31        100nF                                                                                                                                                                                                                                                                                                                                                  TopLayer    CAP0603                              292.323       570.866       360      "Non-polarised capacitor"                                    
C30        10uF                                                                                                                                                                                                                                                                                                                                                   TopLayer    CAP0603                              544.291       224.410       180      "Non-polarised capacitor"                                    
C29        100nF                                                                                                                                                                                                                                                                                                                                                  TopLayer    CAP0603                              544.291       289.370       360      "Non-polarised capacitor"                                    
C28        1µF                                                                                                                                                                                                                                                                                                                                                    TopLayer    CAP0603                              734.252       431.102       90       "Non-polarised capacitor"                                    
U13        MAX9759ETE+T                                                                                                                                                                                                                                                                                                                                           TopLayer    MAX9759ETE+T                         571.851       430.476       180      ""                                                           
R38        15k                                                                                                                                                                                                                                                                                                                                                    TopLayer    RES0603                              849.467       433.816       360      Resistor                                                     
R26        30.1k                                                                                                                                                                                                                                                                                                                                                  TopLayer    RES0603                              848.483       569.376       360      Resistor                                                     
R25        30.1k                                                                                                                                                                                                                                                                                                                                                  TopLayer    RES0603                              848.483       501.462       360      Resistor                                                     
H14        "Header 2x1_electret_MIC"                                                                                                                                                                                                                                                                                                                              TopLayer    HRD2x1_MIC_Nabaztag                  309.055       1189.173      180      ""                                                           
C64        470nF                                                                                                                                                                                                                                                                                                                                                  TopLayer    CAP0603                              976.436       569.376       360      "Non-polarised capacitor"                                    
C63        470nF                                                                                                                                                                                                                                                                                                                                                  TopLayer    CAP0603                              976.436       501.462       360      "Non-polarised capacitor"                                    
C11        1µF                                                                                                                                                                                                                                                                                                                                                    TopLayer    CAP0603                              976.436       433.816       360      "Non-polarised capacitor"                                    
J5         "Normally closed trace jumper (1 of 2 connections)This jumper has a trace between two pads so it's normally closed (NC). The other connection is normally open (NO). Use a razor knife to open the connection. For best results follow the IPC guidelines for cutting traces:Reapply solder to reclose the connection, or to close the NO connection." TopLayer    JUMPER_PCB_3POLES                    853.346       1305.118      360      ""                                                           
J3         Jumper_pcb_closed                                                                                                                                                                                                                                                                                                                                      TopLayer    Jumper_pcb_closed_2                  1974.094      4437.992      0        ""                                                           
MIC2       CMM3729                                                                                                                                                                                                                                                                                                                                                TopLayer    DFN246P295X110-4N                    2498.032      4480.315      90       ""                                                           
L6         BLM18BD252SN1D                                                                                                                                                                                                                                                                                                                                         TopLayer    IND0603                              2269.685      4504.134      0        "Inductor 0603 blm18pg330sn"                                 
C56        33pF                                                                                                                                                                                                                                                                                                                                                   TopLayer    CAP0603                              2269.685      4439.173      180      "Non-polarised capacitor"                                    
C55        33pF                                                                                                                                                                                                                                                                                                                                                   TopLayer    CAP0603                              2373.032      4471.654      90       "Non-polarised capacitor"                                    
C54        100nF                                                                                                                                                                                                                                                                                                                                                  TopLayer    CAP0603                              2496.063      4294.488      180      "Non-polarised capacitor"                                    
C53        10uF                                                                                                                                                                                                                                                                                                                                                   TopLayer    CAP0603                              2496.468      4364.152      360      "Non-polarised capacitor"                                    
C51        10uF                                                                                                                                                                                                                                                                                                                                                   TopLayer    CAP0603                              2137.795      4439.173      180      "Non-polarised capacitor"                                    
J2         Jumper_pcb_closed                                                                                                                                                                                                                                                                                                                                      TopLayer    Jumper_pcb_closed_2                  807.756       4515.630      360      ""                                                           
